N,M,Max Precision (bits),Min Precision (bits),Network,Layer,Cycles,Memory wait cycles,WBUF Read,WBUF Write,OBUF Read,OBUF Write,IBUF Read,IBUF Write,DRAM Read,DRAM Write,Bandwidth (bits/cycle),WBUF Size (bits),OBUF Size (bits),IBUF Size (bits),Timesteps,in_sparsity_util,out_sparsity_util,best_tiling,TW,Speed,best_order
1,1,8,8,CIFAR10SNN,conv0/Convolution,490733647,79,245366784,18432,2097152,4194304,117964800,29491200,31606784,2097152,1024,65536,65536,131072,100,0.0,0.686663921062763,"{'B/b': (1, 100), 'OW/ow': (32, 4), 'OH/oh': (32, 4), 'IC/ic': (1, 2), 'OC/oc': (4, 32)}",8,True,"('IC/ic', 'OC/oc', 'B/b', 'OW/ow', 'OH/oh')"
1,1,8,8,CIFAR10SNN,conv1/Convolution,31406948386,34,251255586816,1179648,2097152,35651584,7549747200,1887436800,1890713600,2097152,1024,65536,65536,131072,100,0.0,0.6732940673828125,"{'B/b': (1, 100), 'OW/ow': (128, 1), 'OH/oh': (128, 1), 'IC/ic': (16, 8), 'OC/oc': (4, 32)}",8,True,"('OC/oc', 'OH/oh', 'IC/ic', 'OW/ow', 'B/b')"
1,1,8,8,CIFAR10SNN,conv2/Convolution,7851737115,27,981467136,1179648,524288,67633152,60397977600,81920000,83623936,524288,1024,65536,65536,131072,100,0.0,0.8752893301156851,"{'B/b': (1, 100), 'OW/ow': (8, 8), 'OH/oh': (8, 8), 'IC/ic': (128, 1), 'OC/oc': (128, 1)}",8,True,"('OC/oc', 'OW/ow', 'OH/oh', 'IC/ic', 'B/b')"
1,1,8,8,CIFAR10SNN,conv3/Convolution,7851737115,27,981467136,1179648,524288,67633152,60397977600,81920000,83623936,524288,1024,65536,65536,131072,100,0.0,0.8919536884014423,"{'B/b': (1, 100), 'OW/ow': (8, 8), 'OH/oh': (8, 8), 'IC/ic': (128, 1), 'OC/oc': (128, 1)}",8,True,"('OC/oc', 'OW/ow', 'OH/oh', 'IC/ic', 'B/b')"
1,1,8,8,CIFAR10SNN,fc4/MatMul,872415234,2,872415232,67108864,512,67109376,26214400,13107200,80216576,512,1024,65536,65536,131072,100,0.0,0.9260817307692307,"{'B/b': (1, 100), 'OW/ow': (1, 1), 'OH/oh': (1, 1), 'IC/ic': (131072, 1), 'OC/oc': (2, 256)}",8,True,"('OW/ow', 'OC/oc', 'IC/ic', 'OH/oh', 'B/b')"
1,1,8,8,CIFAR10SNN,fc5/MatMul,66617,57,66560,5120,10,20,51200,51200,56330,10,1024,65536,65536,131072,100,0.0,0.8369230769230769,"{'B/b': (1, 100), 'OW/ow': (1, 1), 'OH/oh': (1, 1), 'IC/ic': (1, 512), 'OC/oc': (1, 10)}",8,True,"('OW/ow', 'OC/oc', 'IC/ic', 'OH/oh', 'B/b')"
1,1,8,8,DVS128Gesture,conv0/Convolution,490733647,79,245366784,18432,2097152,4194304,117964800,29491200,31606784,2097152,1024,65536,65536,131072,100,0.0,0.9608177038339468,"{'B/b': (1, 100), 'OW/ow': (32, 4), 'OH/oh': (32, 4), 'IC/ic': (1, 2), 'OC/oc': (4, 32)}",8,True,"('IC/ic', 'OC/oc', 'B/b', 'OW/ow', 'OH/oh')"
1,1,8,8,DVS128Gesture,conv1/Convolution,7851737115,27,981467136,1179648,524288,67633152,60397977600,81920000,83623936,524288,1024,65536,65536,131072,100,0.0,0.9522491357265375,"{'B/b': (1, 100), 'OW/ow': (8, 8), 'OH/oh': (8, 8), 'IC/ic': (128, 1), 'OC/oc': (128, 1)}",8,True,"('OC/oc', 'OW/ow', 'OH/oh', 'IC/ic', 'B/b')"
1,1,8,8,DVS128Gesture,conv2/Convolution,1962934541,269,245366784,1179648,131072,16908288,471859200,20480000,21790720,131072,1024,65536,65536,131072,100,0.0,0.8379847208658854,"{'B/b': (1, 100), 'OW/ow': (4, 8), 'OH/oh': (4, 8), 'IC/ic': (128, 1), 'OC/oc': (4, 32)}",8,True,"('OW/ow', 'OC/oc', 'OH/oh', 'IC/ic', 'B/b')"
1,1,8,8,DVS128Gesture,conv3/Convolution,490733645,77,61341696,1179648,32768,4227072,117964800,5120000,6332416,32768,1024,65536,65536,131072,100,0.0,0.8815777118389423,"{'B/b': (1, 100), 'OW/ow': (2, 8), 'OH/oh': (2, 8), 'IC/ic': (128, 1), 'OC/oc': (4, 32)}",8,True,"('OW/ow', 'OC/oc', 'OH/oh', 'IC/ic', 'B/b')"
